Trieda cesty;»Ìslo cesty;MIESTOPISN› PRIEBEH NA ⁄ZEMÕ SLOVENSKEJ REPUBLIKY - podrobn˝;MIESTOPISN› PRIEBEH NA ⁄ZEMÕ SLOVENSKEJ REPUBLIKY - obec/okres;DÂûka cesty / km;
cesta III. triedy;1752;"zaË. cesty III/1752, kriû. III/1752 x II/593, okr. Partiz·nske; kriû. III/1752 x MK, TurËianky, okr. Partiz·nske; kriû. III/1752 x MK, okr. Partiz·nske; kriû. III/1752 x MK, Kl·tova Nov· Ves, okr. Partiz·nske; kon. cesty III/1752, kriû. III/1750 x III/1752, Kl·tova Nov· Ves, okr. Partiz·nske";"okr. Partiz·nske; TurËianky, okr. Partiz·nske; okr. Partiz·nske; Kl·tova Nov· Ves, okr. Partiz·nske";4,341;
cesta III. triedy;1753;"zaË. cesty III/1753, kriû. III/1753 x II/593, Boöany, okr. Partiz·nske; kriû. III/1753 x MK, Boöany, okr. Partiz·nske; hr. okr. Partiz·nske, TopoæËany; kriû. III/1753 x III/1754, hr. vl. NR SK, TN SK, hr. spr. RSUC NR - TO, SC TN SK - PD, okr. TopoæËany; kriû. III/1753 x MK, okr. TopoæËany; kriû. III/1753 x I/64, Kruöovce »asù DolnÈ Chlebany, okr. TopoæËany; kriû. III/1753 x MK, SolËianky, okr. TopoæËany; kriû. III/1753 x MK, Norovce, okr. TopoæËany; hr. vl. NR SK, TN SK, hr. spr. RSUC NR - TO, SC TN SK - PD, hr. okr. B·novce nad Bebravou, TopoæËany; kriû. III/1753 x III/1847, äiöov, okr. B·novce nad Bebravou; kriû. III/1753 x MK, äiöov, okr. B·novce nad Bebravou; kriû. III/1753 x III/1846, äiöov, okr. B·novce nad Bebravou; kriû. III/1753 x III/1848, Libichava, okr. B·novce nad Bebravou; kriû. III/1753 x III/1848, Libichava, okr. B·novce nad Bebravou; kriû. III/1753 x MK, VeækÈ Hoste, okr. B·novce nad Bebravou; kriû. III/1753 x MK, Pochabany, okr. B·novce nad Bebravou; kriû. III/1753 x III/1770, Pochabany, okr. B·novce nad Bebravou; kriû. III/1753 x MK, MalÈ Hoste, okr. B·novce nad Bebravou; kriû. III/1753 x MK, ZlatnÌky, okr. B·novce nad Bebravou; kriû. III/1753 x III/1820, ZlatnÌky, okr. B·novce nad Bebravou; kriû. III/1753 x MK, ZlatnÌky, okr. B·novce nad Bebravou; kon. cesty III/1753, ZlatnÌky, okr. B·novce nad Bebravou";"Boöany, okr. Partiz·nske; hr. okr. Partiz·nske, TopoæËany; okr. TopoæËany; Kruöovce »asù DolnÈ Chlebany, okr. TopoæËany; SolËianky, okr. TopoæËany; Norovce, okr. TopoæËany; hr. okr. B·novce nad Bebravou, TopoæËany; äiöov, okr. B·novce nad Bebravou; Libichava, okr. B·novce nad Bebravou; VeækÈ Hoste, okr. B·novce nad Bebravou; Pochabany, okr. B·novce nad Bebravou; MalÈ Hoste, okr. B·novce nad Bebravou; ZlatnÌky, okr. B·novce nad Bebravou";21,21;
cesta III. triedy;1754;"zaË. cesty III/1754, kriû. III/1753 x III/1754, hr. vl. NR SK, TN SK, hr. spr. RSUC NR - TO, SC TN SK - PD, okr. TopoæËany; hr. okr. Partiz·nske, TopoæËany; kriû. III/1754 x MK, okr. Partiz·nske; kriû. III/1754 x MK, Chynorany, okr. Partiz·nske; kriû. III/1754 x III/1760, Chynorany, okr. Partiz·nske; kon. cesty III/1754, kriû. III/1754 x III/1756, Chynorany, okr. Partiz·nske";"okr. TopoæËany; hr. okr. Partiz·nske, TopoæËany; okr. Partiz·nske; Chynorany, okr. Partiz·nske";3,551;
cesta III. triedy;1755;"zaË. cesty III/1755, kriû. III/1755 x II/592, Livina, okr. Partiz·nske; kriû. III/1755 x MK, Livina, okr. Partiz·nske; kriû. III/1755 x MK, LivinskÈ Opatovce, okr. Partiz·nske; kon. cesty III/1755, LivinskÈ Opatovce, okr. Partiz·nske";"Livina, okr. Partiz·nske; LivinskÈ Opatovce, okr. Partiz·nske";2,597;
cesta III. triedy;1756;"zaË. cesty III/1756, kriû. III/1756 x I/64, okr. Partiz·nske; kriû. III/1756 x MK, Chynorany, okr. Partiz·nske; kriû. III/1754 x III/1756, Chynorany, okr. Partiz·nske; kriû. III/1756 x III/1760, Chynorany, okr. Partiz·nske; kriû. III/1756 x MK, Chynorany, okr. Partiz·nske; kriû. III/1756 x MK, okr. Partiz·nske; kon. cesty III/1756, kriû. III/1756 x II/593, Nedanovce, okr. Partiz·nske";"okr. Partiz·nske; Chynorany, okr. Partiz·nske; okr. Partiz·nske; Nedanovce, okr. Partiz·nske";3,474;
cesta III. triedy;1757;"zaË. cesty III/1757, kriû. III/1757 x I/64, Partiz·nske »asù MalÈ Bielice, okr. Partiz·nske; kriû. III/1757 x MK, Partiz·nske »asù MalÈ Bielice, okr. Partiz·nske; kon. cesty III/1757, Partiz·nske »asù MalÈ Bielice, okr. Partiz·nske";Partiz·nske »asù MalÈ Bielice, okr. Partiz·nske;0,516;
cesta III. triedy;1758;"zaË. cesty III/1758, kriû. III/1758 x II/593 x MK, Partiz·nske »asù VeækÈ Bielic, okr. Partiz·nske; kon. cesty III/1758, Partiz·nske »asù VeækÈ Bielic, okr. Partiz·nske";Partiz·nske »asù VeækÈ Bielic, okr. Partiz·nske;0,217;
cesta III. triedy;1759;"zaË. cesty III/1759, kriû. III/1759 x I/64, Partiz·nske, okr. Partiz·nske; kriû. III/1759 x MK, Partiz·nske, okr. Partiz·nske; kriû. III/1759 x MK, VeækÈ KröteÚany, okr. Partiz·nske; kriû. III/1759 x MK, MalÈ KröteÚany, okr. Partiz·nske; kriû. III/1759 x MK, Paûiù, okr. Partiz·nske; kriû. III/1759 x MK, okr. Partiz·nske; kon. cesty III/1759, kriû. III/1759 x I/64, okr. Partiz·nske";"Partiz·nske, okr. Partiz·nske; VeækÈ KröteÚany, okr. Partiz·nske; MalÈ KröteÚany, okr. Partiz·nske; Paûiù, okr. Partiz·nske; okr. Partiz·nske";6,303;
cesta III. triedy;1760;"zaË. cesty III/1760, kriû. III/1754 x III/1760, Chynorany, okr. Partiz·nske; kriû. III/1760 x MK, Chynorany, okr. Partiz·nske; kon. cesty III/1760, kriû. III/1756 x III/1760, Chynorany, okr. Partiz·nske";Chynorany, okr. Partiz·nske;0,352;
cesta III. triedy;1761;"zaË. cesty III/1761, kriû. III/1761 x I/64, éabokreky Nad Nitrou, okr. Partiz·nske; kriû. III/1761 x MK, éabokreky Nad Nitrou, okr. Partiz·nske; kon. cesty III/1761, éabokreky Nad Nitrou, okr. Partiz·nske";éabokreky Nad Nitrou, okr. Partiz·nske;0,356;
